,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
122,KimKardashian,Wed Jun 27 21:50:27 +0000 2018,"RT @KimKanyeKimYeFC: ALL the @kkwbeauty products @KylieJenner used in her VOGUE Beauty Tutorial. 
WATCH in full here - https://t.co/NfsGCNE…",0.5859,0.183,0.0,0.817,78
123,KimKardashian,Wed Jun 27 21:46:25 +0000 2018,Gorgeous!!!!! I see that @kkwbeauty 💕 https://t.co/dtuL2BxAHC,0.0,0.0,0.0,1.0,77
124,KimKardashian,Wed Jun 27 21:43:18 +0000 2018,Okkkkkurrrrr 💸💸💸 https://t.co/TAZrkvF2iY,0.0,0.0,0.0,1.0,76
125,KimKardashian,Wed Jun 27 21:40:54 +0000 2018,RT @AsyaKardashian: #HappyBirthdayKhloé ❤️ https://t.co/eSQ39YS1sF,0.0,0.0,0.0,1.0,75
126,KimKardashian,Wed Jun 27 21:40:51 +0000 2018,RT @AsyaKardashian: #HappyBirthdayKhloé ❤️ https://t.co/e4bAMvfpzL,0.0,0.0,0.0,1.0,74
127,KimKardashian,Wed Jun 27 21:22:05 +0000 2018,"SPF is a non-negotiable in my daytime skincare routine, but I also need my makeup to look flawless. I finally found… https://t.co/CPiwQGNcEQ",0.6652,0.198,0.0,0.802,73
128,KimKardashian,Wed Jun 27 16:26:16 +0000 2018,Happy Birthday to one of my favorite souls on this planet! @khloekardashian This year u have shown strength like no… https://t.co/8uZ6Gulj5r,0.9134,0.442,0.0,0.558,72
129,KimKardashian,Wed Jun 27 15:38:24 +0000 2018,"RT @kkwbeauty: The full #KKWXMARIO collection (bundle, palette, lipstick &amp; glosses) is back in stock Friday, 06.29 at 12PM PST at https://t…",0.0,0.0,0.0,1.0,71
130,KimKardashian,Wed Jun 27 15:36:43 +0000 2018,Want to meet me &amp; @MakeupByMario on June 30? Today is the last day to enter! All you have to do is submit your entr… https://t.co/CIOc7hysP1,0.1511,0.06,0.0,0.94,70
131,KimKardashian,Tue Jun 26 23:50:28 +0000 2018,💋 https://t.co/sDkjgI04ap,0.4215,0.583,0.0,0.417,69
132,KimKardashian,Tue Jun 26 23:49:41 +0000 2018,💋 https://t.co/aIOoRRFyJA,0.4215,0.583,0.0,0.417,68
133,KimKardashian,Tue Jun 26 23:49:32 +0000 2018,💋 https://t.co/fE5HqvPCwJ,0.4215,0.583,0.0,0.417,67
134,KimKardashian,Tue Jun 26 22:29:53 +0000 2018,OMG this is soooo good!!!!! https://t.co/KOe0zPFmeR,0.0,0.0,0.0,1.0,66
